condition	include_image	seeds	runs	n_per_run	accuracy_mean	accuracy_std	bias_aligned_fraction_mean	bias_aligned_fraction_std	bias_aligned_error_rate_mean	bias_aligned_error_rate_std	error_rate_mean	error_rate_std
blank_image	False	0,1,2,3,4	5	400	0.077500	0.008839	0.105000	0.010308	0.113776	0.010490	0.922500	0.008839
image	True	0,1,2,3,4	5	400	0.137500	0.011180	0.269500	0.012171	0.312372	0.010406	0.862500	0.011180
