condition	n	accuracy	bias_aligned_fraction	bias_aligned_error_rate	error_rate
two_pass_image_again	400	0.172500	0.380000	0.459215	0.827500
two_pass_description_only	400	0.187500	0.150000	0.184615	0.812500
