benchmark	condition	seed	attention_alpha	top_k_gaze	is_baseline	source	accuracy	bias_aligned_fraction	bias_aligned_error_rate	error_rate	mean_image_attention_mass	mean_boosted_layer_image_attention_mass	mean_boosted_head_image_attention_mass	n	Acc	Q_Acc	I_Acc	G_Acc	n_model_calls	n_groups
vlmbias	gaze_top1_alpha10	2	10.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha10_seed2.summary.json	0.1	0.24	0.26666666666666666	0.9	0.09472075641323378	0.08233991440278404	0.998957042875744	400.0						
vlmbias	gaze_top1_alpha10	3	10.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha10_seed3.summary.json	0.12	0.28	0.3181818181818182	0.88	0.0942187958802274	0.08254077140680913	0.998984630766369	400.0						
vlmbias	gaze_top1_alpha10	4	10.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha10_seed4.summary.json	0.11	0.235	0.2640449438202247	0.89	0.09395524038002971	0.08194333210656954	0.9989694591703869	400.0						
vlmbias	gaze_top1_alpha10	5	10.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha10_seed5.summary.json	0.1325	0.2425	0.27953890489913547	0.8675	0.0941989262689139	0.08192082149972622	0.9991307624937995	400.0						
vlmbias	gaze_top1_alpha10	6	10.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha10_seed6.summary.json	0.12	0.25	0.2840909090909091	0.88	0.09428239808636359	0.08197025730509665	0.9991241629464285	400.0						
vlmbias	gaze_top1_alpha10	7	10.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha10_seed7.summary.json	0.13	0.2225	0.2557471264367816	0.87	0.09401251171970769	0.08154147934708522	0.9986312953404018	400.0						
vlmbias	gaze_top1_alpha10	8	10.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha10_seed8.summary.json	0.15	0.2225	0.26176470588235295	0.85	0.0943529084900012	0.08170685476050055	0.9990577973865328	400.0						
vlmbias	gaze_top1_alpha10	9	10.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha10_seed9.summary.json	0.1175	0.2425	0.2747875354107649	0.8825	0.09409393422828648	0.08199643557288847	0.9988321940104167	400.0						
vlmbias	gaze_top1_alpha1	0	1.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha1_seed0.summary.json	0.1225	0.2175	0.24786324786324787	0.8775	0.0926580567271003	0.054834386803110924	0.5713541402514019	400.0						
vlmbias	gaze_top1_alpha1	1	1.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha1_seed1.summary.json	0.13	0.235	0.27011494252873564	0.87	0.09410671520992424	0.05512942015740924	0.5716519445086282	400.0						
vlmbias	gaze_top1_alpha1	2	1.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha1_seed2.summary.json	0.1075	0.235	0.26330532212885155	0.8925	0.09365270438430859	0.05555527589707598	0.5764147293264904	400.0						
vlmbias	gaze_top1_alpha1	3	1.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha1_seed3.summary.json	0.1225	0.28	0.3190883190883191	0.8775	0.09354305070912314	0.056195308776093744	0.5801627021971203	400.0						
vlmbias	gaze_top1_alpha1	4	1.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha1_seed4.summary.json	0.1125	0.23	0.2591549295774648	0.8875	0.09315788907490613	0.05506454428841844	0.5741324376186608	400.0						
vlmbias	gaze_top1_alpha1	5	1.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha1_seed5.summary.json	0.1325	0.2375	0.2737752161383285	0.8675	0.09323054198917789	0.054854884522853815	0.5721840774527877	400.0						
vlmbias	gaze_top1_alpha1	6	1.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha1_seed6.summary.json	0.1175	0.2425	0.2747875354107649	0.8825	0.09313501605749411	0.054830647635406675	0.5671070430846441	400.0						
vlmbias	gaze_top1_alpha1	7	1.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha1_seed7.summary.json	0.135	0.2275	0.2630057803468208	0.865	0.09292472493458633	0.05466838605951385	0.5710814134625646	400.0						
vlmbias	gaze_top1_alpha1	8	1.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha1_seed8.summary.json	0.1525	0.2175	0.25663716814159293	0.8475	0.0934659584974416	0.05447584504554869	0.5673209125730727	400.0						
vlmbias	gaze_top1_alpha1	9	1.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha1_seed9.summary.json	0.12	0.25	0.2840909090909091	0.88	0.09329500618168968	0.05512158659107601	0.5745090717436776	400.0						
vlmbias	gaze_top1_alpha2	0	2.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha2_seed0.summary.json	0.125	0.22	0.25142857142857145	0.875	0.09297426410645693	0.06347667929121908	0.7081002592370915	400.0						
vlmbias	gaze_top1_alpha2	1	2.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha2_seed1.summary.json	0.13	0.2375	0.27298850574712646	0.87	0.09435212839687171	0.06376641293871027	0.7071078728968964	400.0						
vlmbias	gaze_top1_alpha2	2	2.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha2_seed2.summary.json	0.095	0.25	0.27624309392265195	0.905	0.09387379727240278	0.06406566907004047	0.7095891502925328	400.0						
vlmbias	gaze_top1_alpha2	3	2.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha2_seed3.summary.json	0.125	0.265	0.3028571428571429	0.875	0.09356179258254091	0.06468550695725606	0.7138662528688946	400.0						
vlmbias	gaze_top1_alpha2	4	2.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha2_seed4.summary.json	0.115	0.225	0.2542372881355932	0.885	0.09343278139916512	0.06343823889389619	0.7086925996074747	400.0						
vlmbias	gaze_top1_alpha2	5	2.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha2_seed5.summary.json	0.1275	0.24	0.27507163323782235	0.8725	0.09344607218918227	0.0634239003454005	0.706669710601047	400.0						
vlmbias	gaze_top1_alpha2	6	2.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha2_seed6.summary.json	0.125	0.2475	0.28285714285714286	0.875	0.09342144603086319	0.06312168131456045	0.7029401607967558	400.0						
vlmbias	gaze_top1_alpha2	7	2.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha2_seed7.summary.json	0.13	0.225	0.25862068965517243	0.87	0.09324832823757621	0.063053766502838	0.7048973056248257	400.0						
vlmbias	gaze_top1_alpha2	8	2.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha2_seed8.summary.json	0.15	0.22	0.25882352941176473	0.85	0.09360266964125323	0.0630705716402231	0.705005298399081	400.0						
vlmbias	gaze_top1_alpha2	9	2.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha2_seed9.summary.json	0.12	0.245	0.2784090909090909	0.88	0.09329432077484848	0.06404455545805866	0.7124381037666684	400.0						
vlmbias	gaze_top1_alpha5	0	5.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha5_seed0.summary.json	0.12	0.2275	0.2585227272727273	0.88	0.09366121170633386	0.07817670160142283	0.9394049679263606	400.0						
vlmbias	gaze_top1_alpha5	1	5.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha5_seed1.summary.json	0.13	0.2325	0.2672413793103448	0.87	0.09482004812885854	0.07813552673483182	0.936447990054176	400.0						
vlmbias	gaze_top1_alpha5	2	5.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha5_seed2.summary.json	0.105	0.2375	0.26536312849162014	0.895	0.09441224969974606	0.07804706136590159	0.9370071098690942	400.0						
vlmbias	gaze_top1_alpha5	3	5.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha5_seed3.summary.json	0.12	0.2775	0.3153409090909091	0.88	0.09412784040022074	0.07880083420489442	0.9402205863831535	400.0						
vlmbias	gaze_top1_alpha5	4	5.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha5_seed4.summary.json	0.12	0.2225	0.2528409090909091	0.88	0.09384621641633477	0.07813130622884695	0.9373904782249813	400.0						
vlmbias	gaze_top1_alpha5	5	5.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha5_seed5.summary.json	0.135	0.2375	0.2745664739884393	0.865	0.09412000760778158	0.07813267563115288	0.9381351546030195	400.0						
vlmbias	gaze_top1_alpha5	6	5.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha5_seed6.summary.json	0.115	0.25	0.2824858757062147	0.885	0.09407275977830527	0.07812385148282296	0.9383319280715215	400.0						
vlmbias	gaze_top1_alpha5	7	5.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha5_seed7.summary.json	0.1275	0.23	0.2636103151862464	0.8725	0.09389026486372684	0.07751628771633286	0.9356015984671457	400.0						
vlmbias	gaze_top1_alpha5	8	5.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha5_seed8.summary.json	0.1525	0.225	0.26548672566371684	0.8475	0.09423581386431254	0.07776354216539526	0.9370290135347509	400.0						
vlmbias	gaze_top1_alpha5	9	5.0	1	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha5_seed9.summary.json	0.1175	0.25	0.28328611898017	0.8825	0.09393379086011294	0.0783947956531885	0.9396021198091052	400.0						
vlmbias	gaze_top20_alpha0p25	0	0.25	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p25_seed0.summary.json	0.12	0.22	0.25	0.88	0.0937769510451485	0.13146962671254142	0.3370163723019508	400.0						
vlmbias	gaze_top20_alpha0p25	1	0.25	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p25_seed1.summary.json	0.1325	0.2275	0.2622478386167147	0.8675	0.0951594300236489	0.13227777704511573	0.33652435477877596	400.0						
vlmbias	gaze_top20_alpha0p25	2	0.25	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p25_seed2.summary.json	0.105	0.2325	0.25977653631284914	0.895	0.09460115018483782	0.13186426784595592	0.3386875978143363	400.0						
vlmbias	gaze_top20_alpha0p25	3	0.25	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p25_seed3.summary.json	0.115	0.2625	0.2966101694915254	0.885	0.0943269170217155	0.13211192202718716	0.3378882919066451	400.0						
vlmbias	gaze_top20_alpha0p25	4	0.25	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p25_seed4.summary.json	0.115	0.2225	0.2514124293785311	0.885	0.09412642940228462	0.13152728750657805	0.3373999594753038	400.0						
vlmbias	gaze_top20_alpha0p25	5	0.25	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p25_seed5.summary.json	0.14	0.2275	0.26453488372093026	0.86	0.0940674441016606	0.13168784704867495	0.3382207951643767	400.0						
vlmbias	gaze_top20_alpha0p25	6	0.25	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p25_seed6.summary.json	0.12	0.2425	0.2755681818181818	0.88	0.09407951627738013	0.13118455424306671	0.3370090331401915	400.0						
vlmbias	gaze_top20_alpha0p25	7	0.25	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p25_seed7.summary.json	0.135	0.225	0.26011560693641617	0.865	0.09411775895382382	0.1314618308261976	0.33690361528411195	400.0						
vlmbias	gaze_top20_alpha0p25	8	0.25	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p25_seed8.summary.json	0.1475	0.22	0.25806451612903225	0.8525	0.094218767838485	0.13163093224961644	0.33656954255141225	400.0						
vlmbias	gaze_top20_alpha0p25	9	0.25	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p25_seed9.summary.json	0.12	0.2475	0.28125	0.88	0.09397072718575802	0.1315987357134517	0.33718770650077146	400.0						
vlmbias	gaze_top20_alpha0p5	0	0.5	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p5_seed0.summary.json	0.11	0.235	0.2640449438202247	0.89	0.09503216697289404	0.13709676670408924	0.37842528326739683	400.0						
vlmbias	gaze_top20_alpha0p5	1	0.5	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p5_seed1.summary.json	0.1275	0.245	0.2808022922636103	0.8725	0.09631261492031593	0.1378678442759166	0.3780546536664233	400.0						
vlmbias	gaze_top20_alpha0p5	2	0.5	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p5_seed2.summary.json	0.105	0.235	0.26256983240223464	0.895	0.09582378443373486	0.1375223310191971	0.3799646872846333	400.0						
vlmbias	gaze_top20_alpha0p5	3	0.5	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p5_seed3.summary.json	0.12	0.265	0.30113636363636365	0.88	0.09544435113983937	0.13762184363413868	0.37882611908759545	400.0						
vlmbias	gaze_top20_alpha0p5	4	0.5	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p5_seed4.summary.json	0.1125	0.24	0.2704225352112676	0.8875	0.09538968277532112	0.13712813215907016	0.3786582647666502	400.0						
vlmbias	gaze_top20_alpha0p5	5	0.5	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p5_seed5.summary.json	0.135	0.23	0.2658959537572254	0.865	0.09528541811143276	0.1373291363660163	0.37958345971303137	400.0						
vlmbias	gaze_top20_alpha0p5	6	0.5	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p5_seed6.summary.json	0.12	0.2375	0.26988636363636365	0.88	0.09536916308748788	0.1369511142438808	0.3780524418919867	400.0						
vlmbias	gaze_top20_alpha0p5	7	0.5	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p5_seed7.summary.json	0.1375	0.2175	0.25217391304347825	0.8625	0.09535849693618159	0.13712478645473464	0.3782219587379596	400.0						
vlmbias	gaze_top20_alpha0p5	8	0.5	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p5_seed8.summary.json	0.15	0.22	0.25882352941176473	0.85	0.09566704758900262	0.13750538018377215	0.37875612641979955	400.0						
vlmbias	gaze_top20_alpha0p5	9	0.5	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p5_seed9.summary.json	0.12	0.2475	0.28125	0.88	0.0954308805977161	0.13754133318108125	0.37899637648765055	400.0						
vlmbias	gaze_top20_alpha10	0	10.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha10_seed0.summary.json	0.09	0.2175	0.23901098901098902	0.91	0.11245864662421326	0.21524478674955655	0.9997582243915608	400.0						
vlmbias	gaze_top20_alpha10	1	10.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha10_seed1.summary.json	0.1425	0.2125	0.2478134110787172	0.8575	0.11338087801930136	0.21583139020554898	0.9997364503994741	400.0						
vlmbias	gaze_top20_alpha10	2	10.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha10_seed2.summary.json	0.1175	0.22	0.24929178470254956	0.8825	0.1131978677532023	0.2157271914152483	0.9997478405774113	400.0						
vlmbias	gaze_top20_alpha10	3	10.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha10_seed3.summary.json	0.1225	0.2275	0.25925925925925924	0.8775	0.11301587182949568	0.21571583076411716	0.9997414195512337	400.0						
vlmbias	gaze_top20_alpha10	4	10.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha10_seed4.summary.json	0.115	0.195	0.22033898305084745	0.885	0.11262012930402962	0.21527741614471485	0.999755718705072	400.0						
vlmbias	gaze_top20_alpha10	5	10.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha10_seed5.summary.json	0.115	0.2075	0.2344632768361582	0.885	0.11285526206693566	0.21560322005020305	0.9997477984392336	400.0						
vlmbias	gaze_top20_alpha10	6	10.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha10_seed6.summary.json	0.12	0.22	0.25	0.88	0.11277085831496957	0.21542581987522813	0.9997415594681308	400.0						
vlmbias	gaze_top20_alpha10	7	10.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha10_seed7.summary.json	0.13	0.22	0.25287356321839083	0.87	0.1132262804785912	0.21571743425176063	0.9997476507053569	400.0						
vlmbias	gaze_top20_alpha10	8	10.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha10_seed8.summary.json	0.165	0.19	0.2275449101796407	0.835	0.11292795227769024	0.21539504118461894	0.9997606198547615	400.0						
vlmbias	gaze_top20_alpha10	9	10.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha10_seed9.summary.json	0.115	0.23	0.2598870056497175	0.885	0.11254011634377374	0.21551405728792417	0.9997558498730558	400.0						
vlmbias	gaze_top20_alpha1	0	1.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha1_seed0.summary.json	0.1125	0.2225	0.2507042253521127	0.8875	0.09761849956222621	0.14922178755389998	0.468308731318141	400.0						
vlmbias	gaze_top20_alpha1	1	1.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha1_seed1.summary.json	0.135	0.24	0.2774566473988439	0.865	0.09891307122828277	0.15009175697549504	0.4670103768519072	400.0						
vlmbias	gaze_top20_alpha1	2	1.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha1_seed2.summary.json	0.1125	0.225	0.2535211267605634	0.8875	0.09857095288742784	0.1497790189531465	0.4699426264150402	400.0						
vlmbias	gaze_top20_alpha1	3	1.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha1_seed3.summary.json	0.1225	0.265	0.301994301994302	0.8775	0.09818225275270327	0.14975863748902693	0.4686455759810509	400.0						
vlmbias	gaze_top20_alpha1	4	1.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha1_seed4.summary.json	0.1225	0.22	0.25071225071225073	0.8775	0.09822149993359343	0.14925743472968714	0.4675010471631871	400.0						
vlmbias	gaze_top20_alpha1	5	1.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha1_seed5.summary.json	0.14	0.2375	0.2761627906976744	0.86	0.0982169531882055	0.14949314999820415	0.46821008762881816	400.0						
vlmbias	gaze_top20_alpha1	6	1.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha1_seed6.summary.json	0.1225	0.245	0.2792022792022792	0.8775	0.09811209230574142	0.14916739281274818	0.46777188893215405	400.0						
vlmbias	gaze_top20_alpha1	7	1.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha1_seed7.summary.json	0.14	0.23	0.26744186046511625	0.86	0.09819436179530498	0.149416302933484	0.4668884822819108	400.0						
vlmbias	gaze_top20_alpha1	8	1.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha1_seed8.summary.json	0.15	0.23	0.27058823529411763	0.85	0.09841284198740015	0.1497143495687042	0.46836456739353105	400.0						
vlmbias	gaze_top20_alpha1	9	1.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha1_seed9.summary.json	0.12	0.2475	0.28125	0.88	0.0981703026530856	0.14982617613336954	0.46852293462254435	400.0						
vlmbias	gaze_top20_alpha2	0	2.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha2_seed0.summary.json	0.12	0.2275	0.2585227272727273	0.88	0.10332593759846263	0.17262954144332757	0.6437532889039553	400.0						
vlmbias	gaze_top20_alpha2	1	2.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha2_seed1.summary.json	0.1375	0.245	0.28405797101449276	0.8625	0.10422278691854263	0.17335062234332557	0.6431916081572093	400.0						
vlmbias	gaze_top20_alpha2	2	2.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha2_seed2.summary.json	0.12	0.2475	0.28125	0.88	0.10408519769736065	0.17318411348900223	0.6447950097592315	400.0						
vlmbias	gaze_top20_alpha2	3	2.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha2_seed3.summary.json	0.1225	0.2675	0.30484330484330485	0.8775	0.10383668393435613	0.1733791060452154	0.6448720925004178	400.0						
vlmbias	gaze_top20_alpha2	4	2.0	20	False	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha2_seed4.summary.json	0.1175	0.2175	0.24645892351274787	0.8825	0.10343036129962023	0.17259093126105532	0.6441767025783147	400.0						
