head	layer	head_index	final_rank	final_score	mean_batch_rank	median_batch_rank	top5_batches	top10_batches	top20_batches	top50_batches	n_batches
L24H29	24	29	1	0.2287250637824958	1.0	1.0	10	10	10	10	10
L26H26	26	26	2	0.1779179644140725	2.4	2.0	10	10	10	10	10
L25H30	25	30	3	0.17409775522723794	2.8	3.0	10	10	10	10	10
L26H31	26	31	4	0.16482458755979315	3.8	4.0	10	10	10	10	10
L24H31	24	31	5	0.15214246451978883	5.2	5.0	8	10	10	10	10
L25H10	25	10	6	0.14452664584507388	7.7	7.5	2	9	10	10	10
L0H27	0	27	7	0.13849475821852683	7.9	8.0	0	9	10	10	10
L7H6	7	6	8	0.13839846677333115	8.4	8.0	0	9	10	10	10
L32H0	32	0	9	0.13666146261959025	8.8	9.0	0	8	10	10	10
L34H0	34	0	10	0.1362936487129579	9.1	9.5	0	7	10	10	10
L2H17	2	17	11	0.13493441725266167	10.2	10.5	0	5	10	10	10
L24H13	24	13	12	0.12690340212041823	13.2	13.0	0	2	10	10	10
L24H8	24	8	13	0.12661360046469297	13.0	12.5	0	1	10	10	10
L32H3	32	3	14	0.12439956619450822	14.0	14.0	0	0	10	10	10
L33H14	33	14	15	0.1220865171488064	15.4	15.5	0	0	10	10	10
L0H5	0	5	16	0.12122654342651368	15.7	16.0	0	0	10	10	10
L32H11	32	11	17	0.11994188948782782	16.2	16.0	0	0	10	10	10
L29H25	29	25	18	0.1174648978797098	17.8	18.0	0	0	9	10	10
L33H12	33	12	19	0.11704439760519501	18.5	19.0	0	0	8	10	10
L29H24	29	24	20	0.11392209564708174	20.0	20.0	0	0	6	10	10
