head	layer	head_index	final_rank	final_score	mean_batch_rank	median_batch_rank	top5_batches	top10_batches	top20_batches	top50_batches	n_batches
L24H29	24	29	1	0.23326434687920847	1.0	1.0	10	10	10	10	10
L25H30	25	30	2	0.17864440031908455	2.4	2.0	10	10	10	10	10
L26H26	26	26	3	0.17687173690212268	2.7	3.0	10	10	10	10	10
L26H31	26	31	4	0.16755623571667821	4.0	4.0	10	10	10	10	10
L24H31	24	31	5	0.1561997435266773	5.0	5.0	9	10	10	10	10
L25H10	25	10	6	0.14603743043089829	6.8	6.5	1	10	10	10	10
L34H0	34	0	7	0.14170728721423073	8.0	7.0	0	8	10	10	10
L32H0	32	0	8	0.1400953153342319	8.6	8.0	0	9	10	10	10
L0H27	0	27	9	0.13833754226565362	8.7	9.0	0	8	10	10	10
L7H6	7	6	10	0.1377883252731214	9.4	10.0	0	8	10	10	10
L2H17	2	17	11	0.13415471539250579	11.2	11.0	0	3	10	10	10
L24H8	24	8	12	0.1266527415214417	13.3	14.0	0	1	10	10	10
L32H3	32	3	13	0.12581797532698452	13.6	13.5	0	1	10	10	10
L24H13	24	13	14	0.12455731549630099	14.8	14.5	0	2	9	10	10
L33H14	33	14	15	0.12417299339889237	14.8	15.0	0	0	10	10	10
L32H11	32	11	16	0.1225406733434647	15.9	16.5	0	0	10	10	10
L0H5	0	5	17	0.122387451171875	15.4	16.0	0	0	10	10	10
L33H12	33	12	18	0.12011526178770389	17.5	18.0	0	0	10	10	10
L29H25	29	25	19	0.11758710165632268	18.2	19.0	0	0	9	10	10
L29H24	29	24	20	0.11474812774732708	20.1	20.0	0	0	8	10	10
