condition	n	accuracy	bias_aligned_fraction	bias_aligned_error_rate	error_rate
max_pixels=262144	400	0.120000	0.392500	0.446023	0.880000
max_pixels=524288	400	0.135000	0.390000	0.450867	0.865000
max_pixels=1048576	400	0.142500	0.395000	0.460641	0.857500
max_pixels=1572864	400	0.142500	0.400000	0.466472	0.857500
max_pixels=2097152	400	0.142500	0.400000	0.466472	0.857500
