top_k	gaze_accuracy	non_gaze_accuracy	delta_gaze_minus_non_gaze	gaze_junk_count	non_gaze_junk_count
1	0.16633333333333333	0.16266666666666665	0.003666666666666679	0	3
5	0.15933333333333333	0.18566666666666667	-0.026333333333333347	13	90
10	0.16	0.14633333333333334	0.01366666666666666	10	79
20	0.163	0.159	0.0040000000000000036	46	34
